"STATION","NAME","DATE","AWND","PGTM","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-03","9.40",,"  360","   30","16.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-04","6.26",,"  180","  170","15.0","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-05","9.62",,"  180","  180","25.1","30.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-06","13.42",,"  330","  330","40.0","52.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-07","9.40",,"  190","  180","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-08","7.61",,"  180","  180","21.9","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-09","13.42",,"  320","  320","32.0","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-10","7.38",,"   30","   20","15.0","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-11","9.17",,"  130","  150","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-12","8.28",,"   90","   90","19.9","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-13","8.50",,"   90","  100","15.0","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-14","5.82",,"  200","  200","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-15","8.28",,"  180","  170","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-16","9.40",,"  180","  190","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-17","8.95",,"  190","  190","21.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-18","13.42",,"  240","  240","25.1","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-19","8.28",,"  360","  350","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-20","8.50",,"  190","  190","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-21","7.38",,"  330","   40","23.0","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-22","9.62",,"  330","  320","16.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-23","6.93",,"  330","  330","19.9","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-24","8.50",,"  170","  190","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-25","13.20",,"  190","  190","21.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-26","5.82",,"   30","   20","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-27","8.50",,"  190","  190","23.0","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-28","9.40",,"  340","  340","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-29","13.42",,"  180","  170","25.9","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-30","17.00",,"  320","  310","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-31","10.29",,"  340","  340","21.0","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-01","9.17",,"  160","  180","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-02","11.41",,"  320","  320","19.9","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-03","5.37",,"  170","  180","12.1","14.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-04","6.26",,"   30","   60","13.0","16.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-05","9.84",,"  190","  190","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-06","10.74",,"  180","  180","21.9","27.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-07","9.62",,"  180","  190","21.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-08","10.51",,"   50","   50","19.9","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-09","8.05",,"   20","   40","16.1","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-10","9.17",,"  270","  270","25.9","34.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-11","9.62",,"  280","  270","23.9","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-12","9.62",,"  190","  190","18.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-08-13","9.40",,"  190","  180","18.1","21.9"
