"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-03","0.00",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-04","0.00",,"64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-05","0.00",,"64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-06","0.00",,"60","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-07","0.00",,"60","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-08","0.00",,"69","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-09","0.00",,"68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-10","0.00",,"66","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-11","0.00",,"58","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-12","0.00",,"57","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-13","0.00",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-14","0.00",,"63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-15","0.00",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-16","0.00",,"63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-17","0.00",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-18","0.00",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-19","0.00",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-20","0.00",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-21","0.00",,"64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-22","0.00",,"61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-23","0.00",,"67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-24","0.00",,"64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-25","0.00",,"65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-26","0.00",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-27","0.00",,"69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-28","0.00",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-29","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-30","0.00",,"66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-07-31","0.00",,"66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-01","0.00",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-02","0.00",,"67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-03","0.00",,"66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-04","0.01",,"63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-05","0.04",,"62","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-06","0.00",,"70","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-07","0.00",,"67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-08","0.00",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-09","0.00",,"67","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-10","0.00",,"68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-11","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-12","0.00",,"65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-13","0.00",,"64","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-14","0.00",,"65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-15","0.00",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-16","0.00",,"69","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-17","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-18","0.00",,"69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-19","0.00",,"67","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-20","0.00",,"64","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-21","0.00",,"63","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-22","0.00",,"67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-23","0.00",,"65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-24","0.00",,"66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-25","0.00",,"65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-26","0.00",,"71","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-27","0.00",,"80","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-28","0.00",,"84","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-29","0.00",,"68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-30","0.00",,"68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-08-31","0.00",,"65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-09-01","0.00",,"64","56"
